Number;Technical parameter-name;parameter-name;Description;Observed property;Label;Unit;Symbol
64;0-3-6-0.0-5;lifting-condensation-level;Lifting condensation level (from surface);LCL (Lifting Condensation Level);Metre;m;http://codes.wmo.int/common/unit/_m
65;0-3-6-0.0-14;level-of-free-convection;Level of free convection (from surface);LFC (Level of Free Convection);Metre;m;http://codes.wmo.int/common/unit/_m
66;0-3-6-0.0-16;level-of-neutral-buoyance;Level of neutral buoyance (from surface) or equilibrium level;LNB (Level of Neutral Buoyance);Metre;m;http://codes.wmo.int/common/unit/_m
67;0-6-11-0.0-1;cloud-base;Cloud base;https://codes.ecmwf.int/grib/param-db/?id=260107;Metre;m;http://codes.wmo.int/common/unit/_m
68;0-6-12-0.0-1;cloud-top;Cloud top;https://codes.ecmwf.int/grib/param-db/?id=260108;Metre;m;http://codes.wmo.int/common/unit/_m
69;0-0-10-0.0-103-1;latent-heat-net-flux;Latent heat net flux;https://codes.ecmwf.int/grib/param-db/?id=260002;Watt pr. square metres;W * m**-2;https://codes.wmo.int/wmdr/unit/_W.m-2
70;0-0-30-0.0-103-1;time-integral-of-surface-latent-heat-evaporation-flux;Time integral of surface latent heat evaporation flux;https://codes.ecmwf.int/grib/param-db/?id=235019;Joule pr. square metres;J * m**-2;http://codes.wmo.int/common/unit/_J_m-2
71;0-0-31-0.0-103-1;time-integral-of-surface-latent-heat-sublimation-flux;Time integral of surface latent heat sublimation flux;https://codes.ecmwf.int/grib/param-db/?id=235071;Joule pr. square metres;J * m**-2;http://codes.wmo.int/common/unit/_J_m-2
72;0-1-1-2.0-103;relative-humidity-2m;The ratio of the partial pressure of water vapour to the equilibrium vapour pressure of water at the same temperature near the surface.;https://codes.ecmwf.int/grib/param-db/?id=260242;Percent;0-100;http://codes.wmo.int/common/unit/_percent
73;0-1-1-50.0-103;relative-humidity-50m;This parameter is the water vapour pressure as a percentage of the value at which the air becomes saturated (the point at which water vapour begins to condense into liquid water or deposition into ice).;https://codes.ecmwf.int/grib/param-db/?id=157;Percent;0-100;http://codes.wmo.int/common/unit/_percent
74;0-1-1-100.0-103;relative-humidity-100m;This parameter is the water vapour pressure as a percentage of the value at which the air becomes saturated (the point at which water vapour begins to condense into liquid water or deposition into ice).;https://codes.ecmwf.int/grib/param-db/?id=157;Percent;0-100;http://codes.wmo.int/common/unit/_percent
75;0-1-1-150.0-103;relative-humidity-150m;This parameter is the water vapour pressure as a percentage of the value at which the air becomes saturated (the point at which water vapour begins to condense into liquid water or deposition into ice).;https://codes.ecmwf.int/grib/param-db/?id=157;Percent;0-100;http://codes.wmo.int/common/unit/_percent
76;0-1-1-250.0-103;relative-humidity-250m;This parameter is the water vapour pressure as a percentage of the value at which the air becomes saturated (the point at which water vapour begins to condense into liquid water or deposition into ice).;https://codes.ecmwf.int/grib/param-db/?id=157;Percent;0-100;http://codes.wmo.int/common/unit/_percent
77;3-2-1--9.999E130-3;cloud-top-temperature;Temperature at top of cloud;-;Kelvin;K;http://codes.wmo.int/common/unit/K
